gls_1,gls_2,gls_3
350.197,1.488964906,0
350.985,1.494629788,0
351.773,1.50155594,0
352.561,1.448772234,0
353.349,1.490873348,0
354.136,1.500575413,0
354.924,1.482712652,0
355.712,1.505936822,0
356.499,1.506455328,0
357.287,1.535977431,0
358.075,1.508183257,0
358.862,1.520088848,0
359.649,1.506570544,0
360.437,1.477900744,0
361.224,1.507031377,0
362.011,1.505475878,0
362.799,1.503228101,0
363.586,1.491162427,0
364.373,1.517158281,0
365.16,1.491278053,0
365.947,1.48502947,0
366.734,1.498786823,0
367.521,1.512557807,0
368.307,1.488386411,0
369.094,1.533456668,0
369.881,1.489948156,0
370.667,1.493705443,0
371.454,1.497978829,0
372.24,1.496939755,0
373.027,1.524739823,0
373.813,1.515031102,0
374.6,1.498382845,0
375.386,1.502247945,0
376.172,1.511579642,0
376.958,1.497574775,0
377.744,1.503458694,0
378.531,1.510140797,0
379.317,1.500056221,0
380.103,1.508816669,0
380.888,1.515778594,0
381.674,1.514341007,0
382.46,1.506973775,0
383.246,1.518135327,0
384.031,1.487923554,0
384.817,1.499133059,0
385.603,1.497286141,0
386.388,1.505533499,0
387.174,1.502766878,0
387.959,1.500344668,0
388.744,1.501094543,0
389.53,1.513305681,0
390.315,1.508240844,0
391.1,1.516008568,0
391.885,1.513133105,0
392.67,1.505014887,0
393.455,1.508528765,0
394.24,1.50420804,0
395.025,1.505879207,0
395.81,1.508413599,0
396.594,1.492723101,0
397.379,1.505533499,0
398.164,1.513938407,0
398.948,1.501901956,0
399.733,1.499767754,0
400.517,1.507664947,0
401.302,1.500460042,0
402.086,1.500402356,0
402.87,1.506800966,0
403.655,1.509334851,0
404.439,1.51457105,0
405.223,1.506224888,0
406.007,1.50634011,0
406.791,1.506167277,0
407.575,1.507607353,0
408.359,1.514398519,0
409.143,1.51025592,0
409.926,1.515606106,0
410.71,1.505130139,0
411.494,1.510083234,0
412.277,1.503746919,0
413.061,1.500748463,0
413.844,1.507319374,0
414.628,1.504726744,0
415.411,1.509795408,0
416.195,1.502132619,0
416.978,1.501440595,0
417.761,1.507204177,0
418.544,1.511004156,0
419.327,1.505706356,0
420.11,1.505879207,0
420.893,1.511407004,0
421.676,1.507088978,0
422.459,1.506800966,0
423.242,1.508816669,0
424.024,1.506224888,0
424.807,1.5062825,0
425.59,1.50351634,0
426.372,1.504669113,0
427.155,1.501440595,0
427.937,1.50420804,0
428.72,1.501959623,0
429.502,1.501901956,0
430.284,1.504784374,0
431.066,1.50115222,0
431.848,1.502190282,0
432.631,1.503919845,0
433.413,1.502709222,0
434.195,1.500402356,0
434.976,1.504092764,0
435.758,1.500402356,0
436.54,1.501209897,0
437.322,1.502305608,0
438.103,1.49734387,0
438.885,1.503343399,0
439.667,1.502766878,0
440.448,1.504784374,0
441.23,1.499479268,0
442.011,1.501901956,0
442.792,1.500171602,0
443.573,1.4982097,0
444.355,1.501498268,0
445.136,1.496708815,0
445.917,1.497921109,0
446.698,1.500517728,0
447.479,1.496189155,0
448.26,1.499479268,0
449.04,1.500113912,0
449.821,1.500229292,0
450.602,1.501094543,0
451.383,1.49751705,0
452.163,1.498382845,0
452.944,1.501728952,0
453.724,1.499652362,0
454.505,1.499998529,0
455.285,1.496246898,0
456.065,1.499190763,0
456.845,1.499190763,0
457.626,1.500171602,0
458.406,1.501671282,0
459.186,1.502709222,0
459.966,1.502190282,0
460.746,1.499594665,0
461.525,1.500229292,0
462.305,1.502882188,0
463.085,1.501671282,0
463.865,1.500575413,0
464.644,1.50317045,0
465.424,1.501209897,0
466.203,1.503055148,0
466.983,1.500806145,0
467.762,1.500806145,0
468.541,1.503746919,0
469.321,1.500056221,0
470.1,1.501209897,0
470.879,1.500460042,0
471.658,1.502017289,0
472.437,1.499133059,0
473.216,1.501498268,0
473.995,1.502305608,0
474.774,1.498959944,0
475.553,1.50069078,0
476.331,1.501209897,0
477.11,1.503055148,0
477.888,1.502132619,0
478.667,1.502766878,0
479.445,1.501498268,0
480.224,1.500806145,0
481.002,1.501613612,0
481.78,1.501959623,0
482.559,1.501613612,0
483.337,1.502651565,0
484.115,1.502017289,0
484.893,1.50115222,0
485.671,1.501382922,0
486.449,1.497978829,0
487.227,1.502997495,0
488.004,1.501728952,0
488.782,1.499536967,0
489.56,1.500921506,0
490.337,1.499652362,0
491.115,1.499421568,0
491.892,1.502536249,0
492.67,1.502593907,0
493.447,1.499940836,0
494.224,1.498844531,0
495.002,1.501959623,0
495.779,1.500344668,0
496.556,1.499825449,0
497.333,1.497459324,0
498.11,1.500113912,0
498.887,1.500863826,0
499.664,1.500863826,0
500.44,1.501325248,0
501.217,1.50115222,0
501.994,1.499421568,0
502.77,1.501613612,0
503.547,1.502017289,0
504.323,1.500575413,0
505.1,1.498382845,0
505.876,1.499767754,0
506.652,1.499075355,0
507.428,1.500056221,0
508.205,1.499190763,0
508.981,1.498382845,0
509.757,1.500229292,0
510.533,1.502247945,0
511.309,1.4982097,0
512.084,1.499998529,0
512.86,1.500633097,0
513.636,1.499652362,0
514.412,1.497459324,0
515.187,1.496882022,0
515.963,1.498498271,0
516.738,1.499133059,0
517.514,1.497286141,0
518.289,1.499248465,0
519.064,1.498151983,0
519.839,1.498902238,0
520.614,1.496073666,0
521.39,1.498325131,0
522.165,1.4982097,0
522.939,1.498151983,0
523.714,1.497112952,0
524.489,1.493589886,0
525.264,1.499133059,0
526.039,1.49566943,0
526.813,1.497170682,0
527.588,1.496882022,0
528.362,1.496824287,0
529.137,1.496477863,0
529.911,1.498325131,0
530.685,1.495322911,0
531.46,1.496477863,0
532.234,1.494514256,0
533.008,1.495842679,0
533.782,1.495207399,0
534.556,1.493647665,0
535.33,1.494629788,0
536.104,1.49566943,0
536.878,1.496593341,0
537.651,1.494629788,0
538.425,1.495553927,0
539.199,1.494918603,0
539.972,1.494398721,0
540.746,1.493127623,0
541.519,1.494109869,0
542.292,1.495149641,0
543.066,1.495842679,0
543.839,1.495265155,0
544.612,1.494283183,0
545.385,1.495727181,0
546.158,1.495091883,0
546.931,1.492780893,0
547.704,1.492896473,0
548.477,1.493069837,0
549.249,1.493243194,0
550.022,1.494225412,0
550.795,1.494745316,0
551.567,1.492780893,0
552.34,1.492896473,0
553.112,1.492838683,0
553.885,1.493936549,0
554.657,1.49301205,0
555.429,1.493300978,0
556.201,1.493243194,0
556.973,1.496651079,0
557.745,1.494456489,0
558.517,1.493705443,0
559.289,1.493936549,0
560.061,1.493994323,0
560.833,1.491913937,0
561.605,1.492145143,0
562.376,1.49179833,0
563.148,1.493474325,0
563.919,1.494052097,0
564.691,1.492145143,0
565.462,1.492434133,0
566.234,1.492202943,0
567.005,1.493416544,0
567.776,1.490931166,0
568.547,1.492491928,0
569.318,1.493878774,0
570.089,1.491162427,0
570.86,1.492376336,0
571.631,1.492087343,0
572.402,1.493532106,0
573.172,1.492607516,0
573.943,1.491046798,0
574.714,1.491740524,0
575.484,1.491509295,0
576.255,1.490873348,0
577.025,1.49064207,0
577.795,1.49197174,0
578.566,1.491104613,0
579.336,1.490468603,0
580.106,1.490179474,0
580.876,1.490699891,0
581.646,1.491913937,0
582.416,1.490988982,0
583.186,1.489196281,0
583.955,1.48890706,0
584.725,1.491335865,0
585.495,1.490584248,0
586.264,1.48948548,0
587.034,1.488733518,0
587.803,1.489774659,0
588.573,1.48948548,0
589.342,1.488964906,0
590.111,1.489832492,0
590.881,1.489948156,0
591.65,1.489138438,0
592.419,1.488849214,0
593.188,1.489716825,0
593.957,1.489369803,0
594.725,1.489369803,0
595.494,1.486824053,0
596.263,1.488212846,0
597.032,1.489080595,0
597.8,1.487344908,0
598.569,1.489138438,0
599.337,1.488617819,0
600.105,1.488675669,0
600.874,1.489138438,0
601.642,1.487923554,0
602.41,1.488270702,0
603.178,1.489716825,0
603.946,1.490179474,0
604.714,1.489022751,0
605.482,1.487171297,0
606.25,1.489890324,0
607.018,1.488328557,0
607.785,1.487171297,0
608.553,1.487113425,0
609.321,1.487171297,0
610.088,1.489022751,0
610.856,1.487460644,0
611.623,1.487749969,0
612.39,1.487692106,0
613.157,1.487460644,0
613.925,1.487518511,0
614.692,1.488791366,0
615.459,1.489774659,0
616.226,1.489254122,0
616.992,1.489890324,0
617.759,1.488270702,0
618.526,1.489601154,0
619.293,1.488617819,0
620.059,1.48948548,0
620.826,1.489080595,0
621.592,1.49081553,0
622.359,1.490931166,0
623.125,1.489254122,0
623.891,1.49081553,0
624.657,1.489427642,0
625.424,1.489948156,0
626.19,1.489543317,0
626.956,1.490410779,0
627.721,1.491220241,0
628.487,1.490295128,0
629.253,1.49081553,0
630.019,1.490699891,0
630.784,1.490988982,0
631.55,1.490757711,0
